iter	Passed	Remaining
415	3313	4651
416	3321	4643
417	3329	4636
418	3338	4629
419	3345	4619
420	3352	4611
421	3361	4604
422	3372	4600
423	3379	4591
424	3386	4581
425	3393	4572
426	3400	4562
427	3408	4555
428	3416	4547
429	3422	4537
430	3429	4528
431	3438	4521
432	3447	4514
433	3454	4505
434	3462	4496
435	3469	4488
436	3476	4479
437	3484	4470
438	3490	4461
439	3501	4456
440	3508	4446
441	3516	4438
442	3525	4432
443	3533	4425
444	3540	4415
445	3547	4406
446	3552	4395
447	3556	4382
448	3562	4371
449	3570	4364
450	3578	4356
451	3585	4347
452	3593	4339
453	3601	4330
454	3610	4324
455	3617	4315
456	3623	4305
457	3632	4298
458	3641	4291
459	3649	4284
460	3656	4274
461	3665	4268
462	3673	4260
463	3680	4251
464	3688	4243
465	3699	4239
466	3707	4231
467	3715	4223
468	3723	4215
469	3731	4208
470	3740	4200
471	3749	4194
472	3758	4187
473	3768	4182
474	3778	4176
475	3786	4168
476	3795	4161
477	3803	4153
478	3811	4145
479	3819	4137
480	3833	4136
481	3842	4129
482	3850	4121
483	3859	4114
484	3868	4107
485	3876	4100
486	3884	4092
487	3894	4085
488	3901	4077
489	3909	4069
490	3916	4059
491	3925	4053
492	3933	4044
493	3942	4037
494	3949	4029
495	3956	4020
496	3965	4013
497	3972	4004
498	3980	3996
499	3987	3987
500	3996	3980
501	4005	3973
502	4013	3965
503	4022	3958
504	4030	3950
505	4037	3942
506	4044	3932
507	4052	3925
508	4061	3917
509	4067	3908
510	4074	3898
511	4081	3890
512	4090	3883
513	4097	3874
514	4106	3867
515	4113	3858
516	4120	3849
517	4128	3841
518	4139	3836
519	4151	3832
520	4164	3828
521	4177	3825
522	4184	3816
523	4193	3809
524	4201	3801
525	4208	3792
526	4216	3784
527	4224	3776
528	4231	3767
529	4239	3759
530	4247	3751
531	4257	3745
532	4266	3738
533	4273	3729
534	4280	3720
535	4290	3714
536	4297	3705
537	4304	3696
538	4312	3688
539	4321	3681
540	4328	3672
541	4336	3664
542	4344	3656
543	4353	3649
544	4359	3639
545	4366	3631
546	4373	3622
547	4380	3613
548	4390	3606
549	4397	3597
550	4404	3589
551	4411	3580
552	4419	3572
553	4427	3564
554	4434	3555
555	4441	3546
556	4450	3539
557	4458	3531
558	4466	3523
559	4474	3515
560	4483	3508
561	4491	3500
562	4501	3493
563	4510	3487
564	4519	3479
565	4528	3472
566	4536	3464
567	4544	3456
568	4551	3447
569	4562	3441
570	4569	3432
571	4576	3424
572	4584	3416
573	4593	3408
574	4599	3399
575	4606	3391
576	4615	3383
577	4624	3376
578	4632	3368
579	4639	3359
580	4648	3352
581	4656	3344
582	4663	3335
583	4672	3328
584	4683	3322
585	4690	3314
586	4698	3305
587	4706	3297
588	4716	3290
589	4724	3283
590	4733	3276
591	4745	3270
592	4752	3261
593	4761	3254
594	4768	3245
595	4776	3237
596	4785	3230
597	4792	3221
598	4800	3213
599	4809	3206
600	4818	3199
601	4825	3190
602	4834	3182
603	4843	3175
604	4851	3167
605	4858	3158
606	4866	3150
607	4875	3143
608	4883	3135
609	4892	3127
610	4899	3119
611	4908	3111
612	4916	3103
613	4923	3095
614	4932	3087
615	4943	3081
616	4952	3073
617	4959	3065
618	4968	3058
619	4976	3050
620	4985	3042
621	4993	3034
622	4999	3025
623	5008	3017
624	5018	3010
625	5025	3002
626	5032	2994
627	5042	2986
628	5050	2978
629	5058	2970
630	5066	2962
631	5077	2956
632	5086	2948
633	5093	2940
634	5103	2933
635	5111	2925
636	5120	2917
637	5128	2910
638	5136	2901
639	5145	2894
640	5152	2885
641	5160	2877
642	5170	2870
643	5177	2862
644	5186	2854
645	5193	2845
646	5203	2838
647	5213	2831
648	5221	2823
649	5228	2815
650	5238	2808
651	5247	2800
652	5255	2792
653	5263	2784
654	5273	2777
655	5283	2770
656	5291	2762
657	5300	2755
658	5310	2747
659	5319	2740
660	5326	2731
661	5334	2723
662	5343	2716
663	5352	2708
664	5358	2699
665	5371	2693
666	5378	2685
667	5387	2677
668	5396	2669
669	5404	2662
670	5413	2654
671	5420	2645
672	5431	2639
673	5439	2630
674	5445	2621
675	5450	2612
676	5456	2603
677	5464	2595
678	5472	2587
679	5482	2579
680	5490	2571
681	5499	2564
682	5508	2556
683	5516	2548
684	5524	2540
685	5532	2532
686	5541	2524
687	5550	2517
688	5557	2508
689	5567	2501
690	5575	2493
691	5584	2485
692	5594	2478
693	5603	2470
694	5611	2462
695	5618	2454
696	5626	2446
697	5634	2437
698	5643	2430
699	5649	2421
700	5656	2412
701	5664	2404
702	5674	2397
703	5683	2389
704	5690	2381
705	5701	2374
706	5711	2367
707	5719	2358
708	5729	2351
709	5739	2344
710	5748	2336
711	5757	2328
712	5766	2321
713	5775	2313
714	5782	2305
715	5794	2298
716	5800	2289
717	5807	2281
718	5816	2273
719	5824	2265
720	5833	2257
721	5843	2249
722	5850	2241
723	5859	2233
724	5868	2226
725	5877	2218
726	5885	2210
727	5894	2202
728	5903	2194
729	5911	2186
730	5919	2178
731	5930	2171
732	5938	2163
733	5946	2155
734	5955	2147
735	5962	2138
736	5967	2129
737	5972	2120
738	5980	2112
739	5992	2105
740	5999	2096
741	6007	2088
742	6015	2080
743	6024	2072
744	6033	2065
745	6041	2056
746	6049	2048
747	6058	2041
748	6067	2033
749	6076	2025
750	6084	2017
751	6094	2009
752	6103	2001
753	6111	1993
754	6123	1987
755	6133	1979
756	6141	1971
757	6149	1963
758	6159	1955
759	6168	1947
760	6177	1940
761	6184	1931
762	6193	1923
763	6204	1916
764	6214	1909
765	6223	1901
766	6231	1892
767	6240	1885
768	6247	1876
769	6255	1868
770	6263	1860
771	6272	1852
772	6279	1844
773	6290	1836
774	6298	1828
775	6307	1820
776	6316	1812
777	6325	1804
778	6332	1796
779	6340	1788
780	6347	1780
781	6357	1772
782	6367	1764
783	6374	1756
784	6381	1747
785	6390	1739
786	6398	1731
787	6405	1723
788	6412	1714
789	6422	1707
790	6429	1698
791	6437	1690
792	6445	1682
793	6455	1674
794	6464	1667
795	6473	1659
796	6479	1650
797	6486	1641
798	6492	1633
799	6499	1624
800	6506	1616
801	6517	1609
802	6524	1600
803	6533	1592
804	6540	1584
805	6549	1576
806	6558	1568
807	6567	1560
808	6574	1552
809	6584	1544
810	6592	1536
811	6600	1528
812	6608	1520
813	6616	1511
814	6624	1503
815	6633	1495
816	6640	1487
817	6652	1480
818	6659	1471
819	6667	1463
820	6674	1455
821	6684	1447
822	6693	1439
823	6700	1431
824	6709	1423
825	6720	1415
826	6727	1407
827	6734	1398
828	6744	1391
829	6751	1382
830	6757	1374
831	6765	1366
832	6773	1357
833	6782	1350
834	6789	1341
835	6797	1333
836	6804	1325
837	6813	1317
838	6820	1308
839	6828	1300
840	6837	1292
841	6845	1284
842	6854	1276
843	6863	1268
844	6870	1260
845	6879	1252
846	6888	1244
847	6898	1236
848	6904	1228
849	6915	1220
850	6922	1212
851	6929	1203
852	6937	1195
853	6946	1187
854	6955	1179
855	6962	1171
856	6969	1163
857	6978	1155
858	6985	1146
859	6992	1138
860	6999	1130
861	7012	1122
862	7019	1114
863	7025	1105
864	7034	1097
865	7044	1089
866	7051	1081
867	7059	1073
868	7065	1065
869	7072	1056
870	7080	1048
871	7088	1040
872	7095	1032
873	7102	1023
874	7112	1016
875	7120	1007
876	7127	999
877	7134	991
878	7143	983
879	7151	975
880	7160	967
881	7167	958
882	7176	950
883	7184	942
884	7196	935
885	7203	926
886	7213	918
887	7220	910
888	7227	902
889	7234	894
890	7244	886
891	7250	877
892	7259	869
893	7266	861
894	7275	853
895	7282	845
896	7290	837
897	7299	829
898	7307	820
899	7313	812
900	7320	804
901	7328	796
902	7336	788
903	7345	780
904	7352	771
905	7359	763
906	7366	755
907	7374	747
908	7382	739
909	7389	730
910	7396	722
911	7406	714
912	7414	706
913	7421	698
914	7429	690
915	7439	682
916	7446	673
917	7453	665
918	7462	657
919	7471	649
920	7478	641
921	7485	633
922	7493	625
923	7503	617
924	7509	608
925	7517	600
926	7523	592
927	7530	584
928	7538	576
929	7547	568
930	7554	559
931	7561	551
932	7571	543
933	7579	535
934	7587	527
935	7594	519
936	7602	511
937	7610	503
938	7617	494
939	7623	486
940	7632	478
941	7640	470
942	7649	462
943	7655	454
944	7664	446
945	7672	437
946	7682	429
947	7693	422
948	7704	414
949	7711	405
950	7720	397
951	7730	389
952	7739	381
953	7748	373
954	7755	365
955	7763	357
956	7771	349
957	7778	341
958	7785	332
959	7792	324
960	7802	316
961	7809	308
962	7818	300
963	7826	292
964	7836	284
965	7843	276
966	7849	267
967	7857	259
968	7865	251
969	7873	243
970	7880	235
971	7887	227
972	7897	219
973	7904	211
974	7911	202
975	7918	194
976	7926	186
977	7932	178
978	7941	170
979	7949	162
980	7955	154
981	7966	146
982	7973	137
983	7981	129
984	7987	121
985	7998	113
986	8005	105
987	8013	97
988	8020	89
989	8029	81
990	8036	72
991	8045	64
992	8053	56
993	8061	48
994	8068	40
995	8075	32
996	8081	24
997	8089	16
998	8097	8
999	8103	0
