iter	Logloss
0	0.686088351
1	0.6789001079
2	0.6718185073
3	0.6643138325
4	0.6581535381
5	0.6518027601
6	0.6459004842
7	0.6402203674
8	0.635049163
9	0.6294592141
10	0.6242837232
11	0.6195930804
12	0.6143521367
13	0.6098115381
14	0.6051194494
15	0.6013284191
16	0.5972880539
17	0.5935637301
18	0.5898709381
19	0.5862761928
20	0.5827246862
21	0.5791749959
22	0.5760975379
23	0.5728151472
24	0.5698196962
25	0.5668064995
26	0.5642200442
27	0.5613489516
28	0.5585483747
29	0.5558352505
30	0.5537196982
31	0.5513272529
32	0.5489395222
33	0.5466824165
34	0.5447921645
35	0.5424987044
36	0.5408095146
37	0.5388506464
38	0.536904374
39	0.5349775829
40	0.5332031512
41	0.5314193516
42	0.5293702701
43	0.5276798672
44	0.5261279612
45	0.5249560429
46	0.5232474265
47	0.5219723483
48	0.5207480213
49	0.5192037154
50	0.518073776
51	0.5170009687
52	0.5155171707
53	0.5141583051
54	0.5131035905
55	0.5118913481
56	0.5106290492
57	0.5096237922
58	0.5085749764
59	0.5075261252
60	0.5065367709
61	0.5053398565
62	0.5045082943
63	0.5033439389
64	0.5024690131
65	0.5014488986
66	0.5004102119
67	0.4994363001
68	0.4986802178
69	0.4979870994
70	0.4970392939
71	0.4963518567
72	0.4957883294
73	0.4948997696
74	0.4943155186
75	0.4933011139
76	0.4924324114
77	0.4918455441
78	0.4908938474
79	0.4902147962
80	0.4895484262
81	0.4888410022
82	0.4880582434
83	0.4874691823
84	0.4870415589
85	0.4863925505
86	0.4858721608
87	0.4850230287
88	0.4843706238
89	0.4834357465
90	0.4828369455
91	0.4823927882
92	0.4815750437
93	0.4810671693
94	0.480540022
95	0.4800100488
96	0.4795692096
97	0.4789674952
98	0.4782357073
99	0.4776801778
100	0.4770518972
101	0.4766835137
102	0.4761544684
103	0.4751982587
104	0.4745270149
105	0.4737533802
106	0.4730627379
107	0.4725223276
108	0.4720568742
109	0.4716173249
110	0.471240132
111	0.470696994
112	0.4700252918
113	0.4695314699
114	0.4689158362
115	0.4683621339
116	0.4676390097
117	0.4670435715
118	0.4665516115
119	0.4663360617
120	0.4657335571
121	0.4652320796
122	0.4645177173
123	0.4640194592
124	0.4634021189
125	0.4629496697
126	0.4626769763
127	0.4619700605
128	0.4615618094
129	0.4611755406
130	0.460592566
131	0.4600131212
132	0.4594534866
133	0.4586285083
134	0.4580767095
135	0.45747454
136	0.4570700673
137	0.4563987577
138	0.4559601884
139	0.4555214393
140	0.4551592365
